"artist_name","track_name","album_name","danceability","track_number","lyric"
"Taylor Swift","cardigan","folklore",0.613,2,"I knew you'd haunt all of my what-ifs"
"Taylor Swift","cardigan","folklore",0.613,2,"The smell of smoke would hang around this long'Cause I knew everything when I was young"
"Taylor Swift","cardigan","folklore",0.613,2,"I knew I'd curse you for the longest time"
"Taylor Swift","cardigan","folklore",0.613,2,"Chasin' shadows in the grocery line"
"Taylor Swift","cardigan","folklore",0.613,2,"I knew you'd miss me once the thrill expired"
"Taylor Swift","cardigan","folklore",0.613,2,"And you'd be standin' in my front porch light"
"Taylor Swift","cardigan","folklore",0.613,2,"And I knew you'd come back to me"
"Taylor Swift","cardigan","folklore",0.613,2,"You'd come back to me"
"Taylor Swift","cardigan","folklore",0.613,2,"And you'd come back to me"
"Taylor Swift","cardigan","folklore",0.613,2,"And you'd come back"
"Taylor Swift","cardigan","folklore",0.613,2,"And when I felt like I was an old cardigan"
"Taylor Swift","cardigan","folklore",0.613,2,"Under someone's bed"
"Taylor Swift","cardigan","folklore",0.613,2,"You put me on and said I was your favorite"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Rebekah rode up on the afternoon train, it was sunny"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Her saltbox house on the coast took her mind off St. Louis"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Bill was the heir to the Standard Oil name and money"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"And the town said, ""How did a middle-class divorcée do it?"""
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"The wedding was charming, if a little gauche"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"There's only so far new money goes"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"They picked out a home and called it ""Holiday House"""
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Their parties were tasteful, if a little loud"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"The doctor had told him to settle down"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"It must have been her fault his heart gave out"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"And they said""There goes the last great American dynasty"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Who knows, if she never showed up, what could've been"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"There goes the maddest woman this town has ever seen"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"She had a marvelous time ruining everything"""
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Rebekah gave up on the Rhode Island set forever"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Flew in all her Bitch Pack friends from the city"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Filled the pool with champagne and swam with the big names"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"And blew through the money on the boys and the ballet"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"And losing on card game bets with Dalí"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"And they said"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"""There goes the last great American dynasty"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Who knows, if she never showed up, what could've been"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"There goes the most shameless woman this town has ever seen"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"She had a marvelous time ruining everything"""
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"They say she was seen on occasion"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Pacing the rocks, staring out at the midnight sea"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"And in a feud with her neighbor"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"She stole his dog and dyed it key lime green"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Fifty years is a long time"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Holiday House sat quietly on that beach"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Free of women with madness, their men and bad habits"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"And then it was bought by me"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"Who knows, if I never showed up, what could've been"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"There goes the loudest woman this town has ever seen"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"I had a marvelous time ruining everything"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"I had a marvelous time ruining everything"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"A marvelous time ruining everything"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"A marvelous time"
"Taylor Swift","the last great american dynasty","folklore",0.686,3,"I had a marvelous time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I can see you standing, honey"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"With his arms around your body"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Laughin', but the joke's not funny at all"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"And it took you five whole minutes"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"To pack us up and leave me with it"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Holdin' all this love out here in the hall"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"And I didn't like the ending"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You're not my homeland anymore"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"So what am I defending now?"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You were my town, now I'm in exile, seein' you out"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Ooh, ooh, ooh"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I can see you starin', honey"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Like he's just your understudy"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Like you'd get your knuckles bloody for me"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Second, third, and hundredth chances"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Balancin' on breaking branches"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Those eyes add insult to injury"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"And I didn't like the ending"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I'm not your problem anymore"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"So who am I offending now?"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You were my crown, now I'm in exile, seein' you out"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"So I'm leaving out the side door"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"So step right out, there is no amount"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Of crying I can do for you"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"All this time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"We always walked a very thin line"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You didn't even hear me out (You didn't even hear me out)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You never gave a warning sign (I gave so many signs)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"All this time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I never learned to read your mind (Never learned to read my mind)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I couldn't turn things around (You never turned things around)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"'Cause you never gave a warning sign (I gave so many signs)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"So many signs, so many signs"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You didn't even see the signs"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"And I didn't like the ending"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You're not my homeland anymore"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"So what am I defending now?"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You were my town, now I'm in exile, seein' you out"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"So I'm leavin' out the side door"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"So step right out, there is no amount"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Of crying I can do for you"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"All this time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"We always walked a very thin line"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You didn't even hear me out (Didn't even hear me out)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You never gave a warning sign (I gave so many signs)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"All this time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I never learned to read your mind (Never learned to read my mind)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"I couldn't turn things around (You never turned things around)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"'Cause you never gave a warning sign (I gave so many signs)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You never gave a warning sign (All this time)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"(So many times) I never learned to read your mind"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"(So many signs) I couldn't turn things around (I couldn't turn things around)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"'Cause you never gave a warning sign (You never gave a warning sign)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"You never gave a warning sign"
