"artist_name","track_name","album_name","danceability","lyric"
"Taylor Swift","cardigan","folklore",0.613,"I knew you'd miss me once the thrill expired"
"Taylor Swift","cardigan","folklore",0.613,"And you'd be standin' in my front porch light"
"Taylor Swift","cardigan","folklore",0.613,"And I knew you'd come back to me"
"Taylor Swift","cardigan","folklore",0.613,"You'd come back to me"
"Taylor Swift","cardigan","folklore",0.613,"And you'd come back to me"
"Taylor Swift","cardigan","folklore",0.613,"And you'd come back"
"Taylor Swift","cardigan","folklore",0.613,"And when I felt like I was an old cardigan"
"Taylor Swift","cardigan","folklore",0.613,"Under someone's bed"
"Taylor Swift","cardigan","folklore",0.613,"You put me on and said I was your favorite"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Rebekah rode up on the afternoon train, it was sunny"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Her saltbox house on the coast took her mind off St. Louis"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Bill was the heir to the Standard Oil name and money"
"Taylor Swift","the last great american dynasty","folklore",0.686,"And the town said, ""How did a middle-class divorcée do it?"""
"Taylor Swift","the last great american dynasty","folklore",0.686,"The wedding was charming, if a little gauche"
"Taylor Swift","the last great american dynasty","folklore",0.686,"There's only so far new money goes"
"Taylor Swift","the last great american dynasty","folklore",0.686,"They picked out a home and called it ""Holiday House"""
"Taylor Swift","the last great american dynasty","folklore",0.686,"Their parties were tasteful, if a little loud"
"Taylor Swift","the last great american dynasty","folklore",0.686,"The doctor had told him to settle down"
"Taylor Swift","the last great american dynasty","folklore",0.686,"It must have been her fault his heart gave out"
"Taylor Swift","the last great american dynasty","folklore",0.686,"And they said""There goes the last great American dynasty"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Who knows, if she never showed up, what could've been"
"Taylor Swift","the last great american dynasty","folklore",0.686,"There goes the maddest woman this town has ever seen"
"Taylor Swift","the last great american dynasty","folklore",0.686,"She had a marvelous time ruining everything"""
"Taylor Swift","the last great american dynasty","folklore",0.686,"Rebekah gave up on the Rhode Island set forever"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Flew in all her Bitch Pack friends from the city"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Filled the pool with champagne and swam with the big names"
"Taylor Swift","the last great american dynasty","folklore",0.686,"And blew through the money on the boys and the ballet"
"Taylor Swift","the last great american dynasty","folklore",0.686,"And losing on card game bets with Dalí"
"Taylor Swift","the last great american dynasty","folklore",0.686,"And they said"
"Taylor Swift","the last great american dynasty","folklore",0.686,"""There goes the last great American dynasty"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Who knows, if she never showed up, what could've been"
"Taylor Swift","the last great american dynasty","folklore",0.686,"There goes the most shameless woman this town has ever seen"
"Taylor Swift","the last great american dynasty","folklore",0.686,"She had a marvelous time ruining everything"""
"Taylor Swift","the last great american dynasty","folklore",0.686,"They say she was seen on occasion"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Pacing the rocks, staring out at the midnight sea"
"Taylor Swift","the last great american dynasty","folklore",0.686,"And in a feud with her neighbor"
"Taylor Swift","the last great american dynasty","folklore",0.686,"She stole his dog and dyed it key lime green"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Fifty years is a long time"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Holiday House sat quietly on that beach"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Free of women with madness, their men and bad habits"
"Taylor Swift","the last great american dynasty","folklore",0.686,"And then it was bought by me"
"Taylor Swift","the last great american dynasty","folklore",0.686,"Who knows, if I never showed up, what could've been"
"Taylor Swift","the last great american dynasty","folklore",0.686,"There goes the loudest woman this town has ever seen"
"Taylor Swift","the last great american dynasty","folklore",0.686,"I had a marvelous time ruining everything"
"Taylor Swift","the last great american dynasty","folklore",0.686,"I had a marvelous time ruining everything"
"Taylor Swift","the last great american dynasty","folklore",0.686,"A marvelous time ruining everything"
"Taylor Swift","the last great american dynasty","folklore",0.686,"A marvelous time"
"Taylor Swift","the last great american dynasty","folklore",0.686,"I had a marvelous time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I can see you standing, honey"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"With his arms around your body"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Laughin', but the joke's not funny at all"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"And it took you five whole minutes"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"To pack us up and leave me with it"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Holdin' all this love out here in the hall"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"And I didn't like the ending"
