"Program","Network","Rank","Rating","Year"
"CSI: Crime Scene Investigation","CBS",16,8,2011
"Unforgettable","CBS",18,7.9,2011
"Blue Bloods","CBS",19,7.8,2011
"The Good Wife","CBS",19,7.8,2011
"Hawaii Five-0","CBS",21,7.6,2011
"Mike & Molly","CBS",25,7.2,2011
"Rob","CBS",25,7.2,2011
"CSI: Miami","CBS",27,7.1,2011
"2 Broke Girls","CBS",28,7,2011
"NCIS","CBS",1,13.5,2012
"The Big Bang Theory","CBS",3,11.6,2012
"NCIS: Los Angeles","CBS",4,11,2012
"Person of Interest","CBS",5,10,2012
"Two and a Half Men","CBS",10,8.7,2012
"Blue Bloods","CBS",12,8.5,2012
"Elementary","CBS",14,8.3,2012
"60 Minutes","CBS",16,8,2012
"Criminal Minds","CBS",16,8,2012
"CSI: Crime Scene Investigation","CBS",18,7.7,2012
"The Mentalist","CBS",18,7.7,2012
"Vegas","CBS",18,7.7,2012
"CSI: NY","CBS",23,7.3,2012
"The Good Wife","CBS",23,7.3,2012
"Survivor: Philippines","CBS",23,7.3,2012
"2 Broke Girls","CBS",28,6.8,2012
"Hawaii Five-0","CBS",28,6.8,2012
"Survivor: Carmona","CBS",30,6.7,2012
"NCIS","CBS",1,12.6,2013
"The Big Bang Theory","CBS",3,12.3,2013
"NCIS: Los Angeles","CBS",4,10.3,2013
"Person of Interest","CBS",7,9,2013
"Blue Bloods","CBS",9,8.8,2013
"Criminal Minds","CBS",13,8.2,2013
"CSI: Crime Scene Investigation","CBS",16,7.8,2013
"60 Minutes","CBS",17,7.7,2013
"Elementary","CBS",18,7.6,2013
"The Good Wife","CBS",18,7.6,2013
"Hawaii Five-0","CBS",21,7.5,2013
"The Mentalist","CBS",23,7.3,2013
"The Millers","CBS",24,7.1,2013
"Survivor","CBS",25,7,2013
"Two and a Half Men","CBS",27,6.8,2013
"How I Met Your Mother","CBS",28,6.6,2013
"Intelligence","CBS",29,6.5,2013
"NCIS","CBS",1,12.6,2015
"The Big Bang Theory","CBS",3,12.3,2015
"NCIS: Los Angeles","CBS",4,10.3,2015
"Person of Interest","CBS",7,9,2015
"Blue Bloods","CBS",9,8.8,2015
"Criminal Minds","CBS",13,8.2,2015
"CSI: Crime Scene Investigation","CBS",16,7.8,2015
"60 Minutes","CBS",17,7.7,2015
"Elementary","CBS",18,7.6,2015
"The Good Wife","CBS",18,7.6,2015
"Hawaii Five-0","CBS",21,7.5,2015
"The Mentalist","CBS",23,7.3,2015
"The Millers","CBS",24,7.1,2015
"Survivor","CBS",25,7,2015
"Two and a Half Men","CBS",27,6.8,2015
"How I Met Your Mother","CBS",28,6.6,2015
"Intelligence","CBS",29,6.5,2015
"The Big Bang Theory","CBS",1,11.1,2017
"NCIS","CBS",2,10.3,2017
"Young Sheldon","CBS",6,9.5,2017
"Bull","CBS",8,8.9,2017
"Blue Bloods","CBS",10,8.2,2017
"NCIS: New Orleans","CBS",11,7.8,2017
"60 Minutes","CBS",12,7.1,2017
"Hawaii Five-0","CBS",16,6.8,2017
"Mom","CBS",18,6.7,2017
"NCIS: Los Angeles","CBS",19,6.6,2017
"SEAL Team","CBS",23,6.1,2017
"Instinct","CBS",23,6.1,2017
"Criminal Minds","CBS",25,6,2017
"Survivor","CBS",28,5.9,2017
"S.W.A.T.","CBS",29,5.8,2017
"Madam Secretary","CBS",30,5.6,2017
"The Big Bang Theory","CBS",2,10.6,2018
"NCIS","CBS",3,9.6,2018
"Young Sheldon","CBS",4,8.7,2018
"Blue Bloods","CBS",7,7.9,2018
"FBI","CBS",7,7.9,2018
"Bull","CBS",13,7,2018
"NCIS: New Orleans","CBS",17,6.8,2018
"60 Minutes","CBS",18,6.7,2018
"Mom","CBS",21,6.4,2018
"Hawaii Five-0","CBS",22,6.2,2018
"NCIS: Los Angeles","CBS",22,6.2,2018
"God Friended Me","CBS",27,5.8,2018
"Survivor","CBS",29,5.5,2018
"The Big Bang Theory","CBS",2,11.6,2014
"NCIS","CBS",2,11.6,2014
"NCIS: New Orleans","CBS",4,11.3,2014
"Thursday Night Football","CBS",6,10.6,2014
"Criminal Minds","CBS",8,9,2014
"Madam Secretary","CBS",8,9,2014
"Blue Bloods","CBS",11,8.8,2014
"Scorpion","CBS",14,8.4,2014
"The Good Wife","CBS",16,8.1,2014
"60 Minutes","CBS",17,7.8,2014
"Hawaii Five-0","CBS",17,7.8,2014
"Person of Interest","CBS",20,7.7,2014
"NCIS: Los Angeles","CBS",22,7.6,2014
"Two and a Half Men","CBS",23,7.5,2014
"Elementary","CBS",25,7.3,2014
"The Mentalist","CBS",25,7.3,2014
"Mom","CBS",25,7.3,2014
"CSI: Crime Scene Investigation","CBS",28,7.2,2014
"CSI: Cyber","CBS",28,7.2,2014
"All in the Family","CBS",1,30.2,1974
"The Jeffersons","CBS",4,27.6,1974
"M*A*S*H","CBS",5,27.4,1974
"Rhoda","CBS",6,26.3,1974
"Good Times","CBS",7,25.8,1974
"The Waltons","CBS",8,25.5,1974
"Maude","CBS",9,24.9,1974
"Hawaii Five-O","CBS",10,24.8,1974
"The Mary Tyler Moore Show","CBS",11,24,1974
"Kojak","CBS",14,23.3,1974
"The Bob Newhart Show","CBS",17,22.4,1974
"Mannix","CBS",20,21.6,1974
"Cannon","CBS",20,21.6,1974
"Cher","CBS",22,21.3,1974
"Paul Sand in Friends and Lovers","CBS",25,20.7,1974
"Tony Orlando & Dawn","CBS",25,20.7,1974
"Medical Center","CBS",27,20.6,1974
"Gunsmoke","CBS",28,20.5,1974
"The Carol Burnett Show","CBS",29,20.4,1974
"All in the Family","CBS",1,30.1,1975
"Maude","CBS",4,25,1975
"Phyllis","CBS",6,24.5,1975
"Rhoda","CBS",7,24.4,1975
"One Day at a Time","CBS",12,23.1,1975
"The Waltons","CBS",14,22.9,1975
"M*A*S*H","CBS",14,22.9,1975
"The Mary Tyler Moore Show","CBS",19,21.9,1975
"Kojak","CBS",20,21.8,1975
"The Jeffersons","CBS",21,21.5,1975
"The Sonny & Cher Show","CBS",23,21.2,1975
"Good Times","CBS",24,21,1975
"The Bob Newhart Show","CBS",26,20.7,1975
"The Carol Burnett Show","CBS",29,20.5,1975
"M*A*S*H","CBS",4,25.9,1976
"One Day at a Time","CBS",8,23.4,1976
"All in the Family","CBS",12,22.9,1976
"The Waltons","CBS",15,22.3,1976
"60 Minutes","CBS",18,21.9,1976
"Hawaii Five-O","CBS",18,21.9,1976
"The Jeffersons","CBS",24,21,1976
"Good Times","CBS",26,20.5,1976
"Alice","CBS",30,20,1976
"60 Minutes","CBS",4,24.4,1977
"All in the Family","CBS",4,24.4,1977
"Alice","CBS",8,23.2,1977
"M*A*S*H","CBS",8,23.2,1977
"One Day at a Time","CBS",10,23,1977
"The Waltons","CBS",20,20.8,1977
"Barnaby Jones","CBS",22,20.6,1977
"Hawaii Five-O","CBS",23,20.4,1977
"Rhoda","CBS",25,20.1,1977
"The Incredible Hulk","CBS",26,19.9,1977
"Family","CBS",26,19.9,1977
"On Our Own","CBS",29,19.6,1977
"60 Minutes","CBS",6,25.5,1978
"M*A*S*H","CBS",7,25.4,1978
"All in the Family","CBS",9,24.9,1978
"Alice","CBS",13,23.2,1978
"One Day at a Time","CBS",18,21.6,1978
"The Dukes of Hazzard","CBS",20,21,1978
"Barnaby Jones","CBS",24,20.5,1978
"Stockard Channing in Just Friends","CBS",26,20.2,1978
"Lou Grant","CBS",30,19.7,1978
"60 Minutes","CBS",1,28.4,1979
"Alice","CBS",4,25.3,1979
"M*A*S*H","CBS",4,25.3,1979
"Dallas","CBS",6,25,1979
"Flo","CBS",7,24.4,1979
"The Jeffersons","CBS",8,24.3,1979
"The Dukes of Hazzard","CBS",9,24.1,1979
"One Day at a Time","CBS",10,23,1979
"Archie Bunker's Place","CBS",11,22.9,1979
"House Calls","CBS",14,22.1,1979
"Trapper John, M.D.","CBS",19,21.2,1979
"WKRP in Cincinnati","CBS",22,20.7,1979
"Knots Landing","CBS",29,20,1979
"Dallas","CBS",1,34.5,1980
"The Dukes of Hazzard","CBS",2,27.3,1980
"60 Minutes","CBS",3,27,1980
"M*A*S*H","CBS",4,25.7,1980
"The Jeffersons","CBS",6,23.5,1980
"Alice","CBS",7,22.9,1980
"House Calls","CBS",8,22.4,1980
"One Day at a Time","CBS",11,22,1980
"Archie Bunker's Place","CBS",13,21.4,1980
"Magnum, P.I.","CBS",14,21,1980
"Trapper John, M.D.","CBS",17,20.7,1980
"Lou Grant","CBS",27,19.1,1980
"Knots Landing","CBS",28,19,1980
"The Waltons","CBS",30,18.6,1980
"Dallas","CBS",1,28.4,1981
"60 Minutes","CBS",2,27.7,1981
"The Jeffersons","CBS",3,23.4,1981
"Alice","CBS",5,22.7,1981
"The Dukes of Hazzard","CBS",6,22.6,1981
"Too Close for Comfort","CBS",6,22.6,1981
"M*A*S*H","CBS",9,22.3,1981
"One Day at a Time","CBS",10,22,1981
"Archie Bunker's Place","CBS",12,21.6,1981
"Falcon Crest","CBS",13,21.4,1981
"Magnum, P.I.","CBS",17,20.9,1981
"House Calls","CBS",23,19.2,1981
"60 Minutes","CBS",1,25.5,1982
"Dallas","CBS",2,24.6,1982
"M*A*S*H","CBS",3,22.6,1982
"Magnum, P.I.","CBS",3,22.6,1982
"Simon & Simon","CBS",7,21,1982
"Falcon Crest","CBS",8,20.7,1982
"The Jeffersons","CBS",12,20,1982
"Newhart","CBS",12,20,1982
"One Day at a Time","CBS",16,19.1,1982
"Gloria","CBS",18,18.7,1982
"Trapper John, M.D.","CBS",18,18.7,1982
"Knots Landing","CBS",20,18.6,1982
"Archie Bunker's Place","CBS",22,18.3,1982
"CBS Tuesday Night Movie","CBS",27,17.5,1982
"The Dukes of Hazzard","CBS",30,17.2,1982
"Dallas","CBS",1,25.7,1983
"60 Minutes","CBS",2,24.2,1983
"Simon & Simon","CBS",5,23.8,1983
"Magnum, P.I.","CBS",6,22.4,1983
"Falcon Crest","CBS",7,22,1983
"Kate & Allie","CBS",8,21.9,1983
"Cagney & Lacey","CBS",10,20.9,1983
"Knots Landing","CBS",11,20.8,1983
"AfterMASH","CBS",15,20.1,1983
"The Jeffersons","CBS",19,18.6,1983
"Scarecrow & Mrs. King","CBS",20,18.3,1983
"Newhart","CBS",23,18,1983
"CBS Tuesday Night Movie","CBS",25,17.2,1983
"Alice","CBS",25,17.2,1983
"Trapper John, M.D.","CBS",30,17,1983
"Dallas","CBS",2,24.7,1984
"60 Minutes","CBS",4,22.2,1984
"Simon & Simon","CBS",7,21.8,1984
"Murder, She Wrote","CBS",8,20.1,1984
"Knots Landing","CBS",9,20,1984
"Falcon Crest","CBS",10,19.9,1984
"Crazy Like a Fox","CBS",10,19.9,1984
"Magnum, P.I.","CBS",15,19.1,1984
"Newhart","CBS",16,18.4,1984
"Kate & Allie","CBS",17,18.3,1984
"Scarecrow & Mrs. King","CBS",22,17.1,1984
"Cagney & Lacey","CBS",28,16.9,1984
"Trapper John, M.D.","CBS",29,16.8,1984
"Murder, She Wrote","CBS",3,25.3,1985
"60 Minutes","CBS",4,23.9,1985
"Dallas","CBS",6,21.9,1985
"CBS Sunday Night Movie","CBS",12,20.5,1985
"Kate & Allie","CBS",14,20,1985
"Newhart","CBS",16,19.6,1985
"Knots Landing","CBS",17,19.5,1985
"Falcon Crest","CBS",24,18.1,1985
"Scarecrow & Mrs. King","CBS",28,17.4,1985
"Simon & Simon","CBS",29,17.2,1985
"Murder, She Wrote","CBS",4,25.4,1986
"60 Minutes","CBS",6,23.3,1986
"Dallas","CBS",11,21.3,1986
"Newhart","CBS",12,19.5,1986
"CBS Sunday Night Movie","CBS",15,18.6,1986
"Kate & Allie","CBS",19,18.3,1986
"Knots Landing","CBS",26,16.8,1986
"60 Minutes","CBS",8,20.6,1987
"Murder, She Wrote","CBS",9,20.2,1987
"CBS Sunday Night Movie","CBS",18,17.2,1987
"Dallas","CBS",22,16.8,1987
"Newhart","CBS",25,16.5,1987
"60 Minutes","CBS",5,21.7,1988
"Murder, She Wrote","CBS",8,19.9,1988
"Knots Landing","CBS",27,16.1,1988
"CBS Sunday Movie","CBS",27,16.1,1988
"Dallas","CBS",29,15.4,1988
"60 Minutes","CBS",7,19.7,1989
"Murder, She Wrote","CBS",13,17.7,1989
"Designing Women","CBS",22,15.3,1989
"CBS Sunday Movie","CBS",24,14.9,1989
"Murphy Brown","CBS",27,14.7,1989
"Thursday Night Football","CBS/NBC",9,8.5,2017
"The Simpsons","FOX",30,13,1992
"The X-Files","FOX",21,11.2,1996
"The X-Files","FOX",19,10.6,1997
"King of the Hill","FOX",23,9.7,1997
"The Simpsons","FOX",30,9.2,1997
"Ally McBeal","FOX",23,9.6,1998
"The X-Files","FOX",28,9.1,1998
"Malcolm in the Middle","FOX",28,8.9,1999
"Temptation Island","FOX",17,10.7,2000
"Joe Millionaire","FOX",3,13.3,2002
"American Idol - Tuesday","FOX",5,12.6,2002
"American Idol - Wednesday","FOX",6,12.5,2002
"American Idol - Tuesday","FOX",2,14.9,2003
"American Idol - Wednesday","FOX",3,14.1,2003
"My Big Fat Obnoxious Fiance","FOX",14,9.9,2003
"American Idol - Tuesday","FOX",2,15.7,2004
"American Idol - Wednesday","FOX",3,15.3,2004
"House","FOX",23,8.3,2004
"American Idol - Tuesday","FOX",1,17.6,2005
"American Idol - Wednesday","FOX",2,17.2,2005
"House","FOX",9,10.6,2005
"Unan1mous","FOX",25,8.3,2005
"24","FOX",28,8.1,2005
"American Idol - Wednesday","FOX",1,17.3,2006
"American Idol - Tuesday","FOX",2,16.8,2006
"House","FOX",8,11.1,2006
"Are You Smarter than a 5th Grader?","FOX",30,7.3,2006
"American Idol - Tuesday","FOX",1,16.1,2007
"American Idol - Wednesday","FOX",2,15.9,2007
"House","FOX",8,10.5,2007
"Hell's Kitchen","FOX",30,7,2007
"American Idol - Wednesday","FOX",1,15.1,2008
"American Idol - Tuesday","FOX",2,14.6,2008
"House","FOX",17,8.1,2008
"24","FOX",22,7.3,2008
"Bones","FOX",26,6.7,2008
"American Idol - Tuesday","FOX",1,13.7,2009
"American Idol - Wednesday","FOX",2,13.3,2009
"House","FOX",22,7.5,2009
"Bones","FOX",27,6.5,2009
"24","FOX",28,6.4,2009
"American Idol - Wednesday","FOX",1,14.5,2010
"American Idol - Thursday","FOX",3,13.4,2010
"Bones","FOX",27,7,2010
"American Idol - Wednesday","FOX",4,11.8,2011
"American Idol - Thursday","FOX",5,11,2011
"The X Factor - Thursday","FOX",23,7.4,2011
"The X Factor - Wednesday","FOX",23,7.4,2011
"American Idol - Wednesday","FOX",7,9.2,2012
"American Idol - Thursday","FOX",9,8.9,2012
"The Following","FOX",23,7.3,2012
"American Idol - Wednesday","FOX",22,7.4,2013
"American Idol - Thursday","FOX",25,7,2013
"American Idol - Wednesday","FOX",22,7.4,2015
"American Idol - Thursday","FOX",25,7,2015
"nine eleven","FOX",25,6,2017
"Thursday Night Football","FOX",4,8.7,2018
"The Masked Singer","FOX",25,6,2018
"nine eleven","FOX",26,5.9,2018
"Empire","FOX",5,10.9,2014
"The Simpsons","FOX",28,14.5,1989
"Real People","NBC",16,21.8,1979
"The Fall Guy","ABC",25,17,1984
"Remington Steele","NBC",25,17,1984
"Webster","NBC",25,17,1984
"Cheers","NBC",1,21.3,1990
"A Different World","NBC",4,17.5,1990
"The Cosby Show","NBC",5,17.1,1990
"Empty Nest","NBC",7,16.7,1990
"The Golden Girls","NBC",10,16.5,1990
"Unsolved Mysteries","NBC",16,15.7,1990
"Matlock","NBC",17,15.5,1990
"In the Heat of the Night","NBC",21,14.9,1990
"L.A. Law","NBC",23,14.8,1990
"Grand","NBC",25,14.6,1990
"Cheers","NBC",4,17.5,1991
"Unsolved Mysteries","NBC",13,16.5,1991
"A Different World","NBC",17,15.2,1991
"The Cosby Show","NBC",18,15,1991
"Wings","NBC",19,14.6,1991
"The Fresh Prince of Bel-Air","NBC",22,14.3,1991
"Empty Nest","NBC",22,14.3,1991
"NBC Monday Movie","NBC",24,13.9,1991
"L.A. Law","NBC",28,13.3,1991
"In the Heat of the Night","NBC",30,13.1,1991
"Cheers","NBC",8,16.1,1992
"The Fresh Prince of Bel-Air","NBC",16,14.6,1992
"Unsolved Mysteries","NBC",21,14.2,1992
"NBC Monday Movie","NBC",24,13.9,1992
"Seinfeld","NBC",25,13.7,1992
"Blossom","NBC",26,13.5,1992
"Wings","NBC",30,13,1992
"Seinfeld","NBC",3,19.4,1993
"Frasier","NBC",7,16.8,1993
"Wings","NBC",18,13.9,1993
"The Fresh Prince of Bel-Air","NBC",21,13.7,1993
"NBC Monday Movie","NBC",23,13.6,1993
"Homicide: Life on the Street","NBC",24,13.5,1993
"Seinfeld","NBC",1,20.6,1994
"ER","NBC",2,20,1994
"Friends","NBC",8,15.6,1994
"Mad About You","NBC",11,15.2,1994
"Madman of the People","NBC",12,14.9,1994
"Hope and Gloria","NBC",14,14.6,1994
"Frasier","NBC",15,14.5,1994
"NBC Monday Movie","NBC",19,13.6,1994
"Wings","NBC",26,12.3,1994
"Law & Order","NBC",27,12.2,1994
"NBC Sunday Night Movie","NBC",28,12,1994
"The Martin Short Show","NBC",29,11.7,1994
"ER","NBC",1,22,1995
"Seinfeld","NBC",2,21.2,1995
"Friends","NBC",3,18.7,1995
"Caroline in the City","NBC",4,18,1995
"The Single Guy","NBC",6,16.7,1995
"Boston Common","NBC",8,15.6,1995
"Frasier","NBC",11,13.6,1995
"NBC Monday Movie","NBC",14,12.9,1995
"NBC Sunday Movie","NBC",21,12.2,1995
"3rd Rock from the Sun","NBC",22,12.1,1995
"Law & Order","NBC",24,11.4,1995
"Dateline NBC - Tuesday","NBC",28,11.3,1995
"ER","NBC",1,21.2,1996
"Seinfeld","NBC",2,20.5,1996
"Suddenly Susan","NBC",3,17,1996
"Friends","NBC",4,16.8,1996
"The Naked Truth","NBC",4,16.8,1996
"Fired Up","NBC",6,16.5,1996
"The Single Guy","NBC",8,14.1,1996
"Frasier","NBC",16,11.8,1996
"NBC Sunday Movie","NBC",18,11.5,1996
"Dateline NBC - Tuesday","NBC",20,11.4,1996
"Mad About You","NBC",23,11,1996
"Caroline in the City","NBC",23,11,1996
"NBC Monday Movie","NBC",23,11,1996
"Law & Order","NBC",27,10.8,1996
"Dateline NBC - Friday","NBC",30,10.5,1996
"Seinfeld","NBC",1,21.7,1997
"ER","NBC",2,20.4,1997
"Veronica's Closet","NBC",3,16.6,1997
"Friends","NBC",4,16.1,1997
"Union Square","NBC",8,13.6,1997
"Frasier","NBC",10,12,1997
"Just Shoot Me!","NBC",12,11.9,1997
"Law & Order","NBC",20,10.2,1997
"Mad About You","NBC",23,9.7,1997
"NBC Sunday Night Movie","NBC",27,9.4,1997
"ER","NBC",1,17.8,1998
"Friends","NBC",2,15.7,1998
"Frasier","NBC",3,15.6,1998
"Veronica's Closet","NBC",5,13.7,1998
"Jesse","NBC",5,13.7,1998
"Law & Order","NBC",13,10.1,1998
"Providence","NBC",16,9.8,1998
"Dateline NBC - Tuesday","NBC",19,9.7,1998
"Dateline NBC - Friday","NBC",25,9.2,1998
"NBC Sunday Night Movie","NBC",28,9.1,1998
"ER","NBC",4,16.9,1999
"Friends","NBC",5,14,1999
"Frasier","NBC",6,13.6,1999
"Law & Order","NBC",11,11.5,1999
"Jesse","NBC",13,11.3,1999
"Stark Raving Mad","NBC",15,10.7,1999
"Providence","NBC",22,9.4,1999
"The West Wing","NBC",24,9.1,1999
"Dateline NBC - Friday","NBC",28,8.9,1999
"Law & Order: Special Victims Unit","NBC",30,8.8,1999
"ER","NBC",2,15,2000
"Friends","NBC",5,12.6,2000
"Law & Order","NBC",9,12.3,2000
"The West Wing","NBC",11,11.6,2000
"Will & Grace","NBC",14,11.3,2000
"Frasier","NBC",17,10.7,2000
"Just Shoot Me!","NBC",20,10.4,2000
"Cursed/The Weber Show","NBC",22,9.7,2000
"Law & Order: Special Victims Unit","NBC",25,9.6,2000
"Friends","NBC",1,15,2001
"ER","NBC",3,14.2,2001
"Law & Order","NBC",5,12.6,2001
"The West Wing","NBC",8,11.4,2001
"Will & Grace","NBC",9,11,2001
"Leap of Faith","NBC",9,11,2001
"Law & Order: Special Victims Unit","NBC",12,10.4,2001
"Frasier","NBC",14,9.9,2001
"Inside Schwartz","NBC",16,9.8,2001
"Just Shoot Me!","NBC",18,9.3,2001
"Crossing Jordan","NBC",20,8.8,2001
"Dateline NBC - Friday","NBC",25,8.1,2001
"Fear Factor","NBC",27,7.9,2001
"Law & Order: Criminal Intent","NBC",27,7.9,2001
"Providence","NBC",27,7.9,2001
"Friends","NBC",2,13.9,2002
"ER","NBC",4,13.1,2002
"Law & Order","NBC",9,11.7,2002
"Will & Grace","NBC",11,11,2002
"Scrubs","NBC",13,10.3,2002
"Law & Order: Special Victims Unit","NBC",14,10.1,2002
"Law & Order: Criminal Intent","NBC",19,9.4,2002
"The West Wing","NBC",21,9,2002
"Good Morning, Miami","NBC",23,8.7,2002
"Frasier","NBC",26,8.4,2002
"Fear Factor","NBC",30,7.7,2002
"Friends","NBC",4,13.6,2003
"The Apprentice","NBC",5,13,2003
"ER","NBC",6,12.9,2003
"Law & Order","NBC",12,10.8,2003
"Will & Grace","NBC",13,10.4,2003
"Law & Order: Special Victims Unit","NBC",18,8.7,2003
"Crossing Jordan","NBC",19,8.6,2003
"Law & Order: Criminal Intent","NBC",19,NA,2003
"Fear Factor","NBC",22,7.9,2003
"The West Wing","NBC",23,7.8,2003
"Las Vegas","NBC",28,7.6,2003
"Average Joe","NBC",29,7.4,2003
"Frasier","NBC",30,7.3,2003
"ER","NBC",12,10.4,2004
"The Apprentice","NBC",14,9.7,2004
"Law & Order: Special Victims Unit","NBC",16,9.2,2004
"Medium","NBC",18,9.1,2004
"Law & Order","NBC",20,8.9,2004
"Law & Order: Criminal Intent","NBC",25,7.9,2004
"Crossing Jordan","NBC",26,7.7,2004
"The West Wing","NBC",29,7.4,2004
"Deal or No Deal - Monday","NBC",15,9.6,2005
"Law & Order: Special Victims Unit","NBC",18,9.2,2005
"Deal or No Deal - Wednesday","NBC",21,9,2005
"ER","NBC",28,8.1,2005
"Sunday Night Football","NBC",11,10.5,2006
"Deal or No Deal - Monday","NBC",13,9.2,2006
"Heroes","NBC",23,8,2006
"Law & Order: Special Victims Unit","NBC",24,7.9,2006
"Sunday Night Football","NBC",10,9.7,2007
"Law & Order: Special Victims Unit","NBC",22,7.6,2007
"Law & Order","NBC",27,7.2,2007
"Deal or No Deal - Monday","NBC",28,7.1,2007
"Sunday Night Football","NBC",8,10,2008
"Law & Order: Special Victims Unit","NBC",26,6.7,2008
"ER","NBC",26,6.7,2008
"Sunday Night Football","NBC",5,11.3,2009
"Sunday Night Football","NBC",4,12.7,2010
"The Voice","NBC",17,7.5,2010
"Harry's Law","NBC",22,7.3,2010
"Sunday Night Football","NBC",1,12.4,2011
"The Voice","NBC",10,9.2,2011
"Sunday Night Football","NBC",2,12.4,2012
"The Voice","NBC",10,8.7,2012
"The Voice - Tuesday","NBC",13,8.4,2012
"Sunday Night Football","NBC",1,12.6,2013
"The Blacklist","NBC",6,9.5,2013
"The Voice","NBC",8,8.9,2013
"The Voice - Tuesday","NBC",10,8.6,2013
"Chicago Fire","NBC",29,6.5,2013
"Sunday Night Football","NBC",1,12.6,2015
"The Blacklist","NBC",6,9.5,2015
"The Voice","NBC",8,8.9,2015
"The Voice - Tuesday","NBC",10,8.6,2015
"Chicago Fire","NBC",29,6.5,2015
"Sunday Night Football","NBC",2,10.3,2017
"This Is Us","NBC",4,10.2,2017
"The Voice","NBC",12,7.1,2017
"The Voice: Tuesday","NBC",16,6.8,2017
"Chicago Med","NBC",19,6.6,2017
"Chicago P.D.","NBC",21,6.5,2017
"Chicago Fire","NBC",22,6.2,2017
"Law & Order: Special Victims Unit","NBC",30,5.6,2017
"Sunday Night Football","NBC",1,10.9,2018
"This Is Us","NBC",6,8.5,2018
"Manifest","NBC",9,7.4,2018
"Chicago Fire","NBC",11,7.2,2018
"America's Got Talent: The Champions","NBC",11,7.2,2018
"Chicago Med","NBC",13,7,2018
"Chicago P.D.","NBC",15,6.9,2018
"New Amsterdam","NBC",15,6.9,2018
"The Voice","NBC",19,6.6,2018
"The Voice: Tuesday","NBC",22,6.2,2018
"Sunday Night Football","NBC",1,12.3,2014
"The Blacklist","NBC",12,8.7,2014
"The Voice: Monday","NBC",13,8.5,2014
"The Voice: Tuesday","NBC",15,8.3,2014
"Sanford and Son","NBC",2,29.6,1974
"Chico and the Man","NBC",3,28.5,1974
"The Rockford Files","NBC",12,23.7,1974
"Little House on the Prairie","NBC",13,23.5,1974
"Police Woman","NBC",15,22.8,1974
"The Wonderful World of Disney","NBC",18,22,1974
"The NBC Sunday Mystery Movie","NBC",22,21.3,1974
"Emergency!","NBC",30,20,1974
"Sanford and Son","NBC",7,24.4,1975
"Chico and the Man","NBC",25,20.8,1975
"Police Woman","NBC",30,20.2,1975
"The Big Event","NBC",6,24.4,1976
"Little House on the Prairie","NBC",15,22.3,1976
"NBC Monday Night Movie","NBC",20,21.8,1976
"Sanford and Son","NBC",27,20.3,1976
"Little House on the Prairie","NBC",7,24.1,1977
"NBC Monday Night Movie","NBC",15,21.7,1977
"Project U.F.O.","NBC",19,21.2,1977
"The Big Event - Sunday","NBC",30,19.4,1977
"Little House on the Prairie","NBC",14,23.1,1978
"NBC Monday Night Movie","NBC",21,20.9,1978
"CHiPs","NBC",25,20.3,1978
"Diff'rent Strokes","NBC",27,19.9,1978
"Real People","NBC",14,22.1,1979
"CHiPs","NBC",18,21.5,1979
"Diff'rent Strokes","NBC",26,20.3,1979
"Little House on the Prairie","NBC",10,22.1,1980
"Real People","NBC",12,21.5,1980
"Diff'rent Strokes","NBC",17,20.7,1980
"CHiPs","NBC",24,19.4,1980
"The Facts of Life","NBC",26,19.3,1980
"NBC Monday Night Movie","NBC",29,18.8,1980
"Real People","NBC",21,19.7,1981
"The Facts of Life","NBC",24,19.1,1981
"Little House on the Prairie","NBC",24,19.1,1981
"Hill Street Blues","NBC",27,18.6,1981
"The A-Team","NBC",10,20.1,1982
"Hill Street Blues","NBC",21,18.4,1982
"Little House: A New Beginning","NBC",28,17.4,1982
"Real People","NBC",30,17.2,1982
"The A-Team","NBC",4,24,1983
"TV's Bloopers & Practical Jokes","NBC",14,20.3,1983
"Riptide","NBC",18,18.8,1983
"NBC Monday Night Movie","NBC",21,18.1,1983
"The Facts of Life","NBC",24,17.3,1983
"Knight Rider","NBC",25,17.2,1983
"The Cosby Show","NBC",3,24.2,1984
"Family Ties","NBC",5,22.1,1984
"The A-Team","NBC",6,21.9,1984
"Cheers","NBC",12,19.7,1984
"NBC Monday Night Movie","NBC",18,18.2,1984
"Highway to Heaven","NBC",19,17.7,1984
"Night Court","NBC",20,17.6,1984
"TV's Bloopers & Practical Jokes","NBC",22,17.1,1984
"Hill Street Blues","NBC",30,16.6,1984
"The Cosby Show","NBC",1,33.7,1985
"Family Ties","NBC",2,30,1985
"Cheers","NBC",5,23.7,1985
"The Golden Girls","NBC",7,21.8,1985
"Miami Vice","NBC",9,21.3,1985
"Night Court","NBC",11,20.9,1985
"Highway to Heaven","NBC",13,20.1,1985
"You Again?","NBC",19,19.2,1985
"227","NBC",20,18.8,1985
"NBC Sunday Night Movie","NBC",21,18.5,1985
"NBC Monday Night Movie","NBC",22,18.3,1985
"Valerie","NBC",24,18.1,1985
"The Facts of Life","NBC",27,17.7,1985
"The A-Team","NBC",30,16.9,1985
"The Cosby Show","NBC",1,34.9,1986
"Family Ties","NBC",2,32.7,1986
"Cheers","NBC",3,27.2,1986
"The Golden Girls","NBC",5,24.5,1986
"Night Court","NBC",7,23.2,1986
"Amen","NBC",13,19.4,1986
"227","NBC",14,18.9,1986
