"Program","Network","Rank","Rating","Year"
"Brothers & Sisters","ABC",30,7.3,2006
"Dancing with the Stars - Monday","ABC",3,14,2007
"Dancing with the Stars - Tuesday","ABC",4,12.6,2007
"Dancing with the Stars - Wednesday","ABC",5,12.3,2007
"Desperate Housewives","ABC",6,11.6,2007
"Grey's Anatomy","ABC",9,10.4,2007
"Samantha Who?","ABC",19,8,2007
"Lost","ABC",20,7.9,2007
"Extreme Makeover: Home Edition","ABC",21,7.8,2007
"Brothers & Sisters","ABC",22,7.6,2007
"CSI: NY","ABC",22,7.6,2007
"Heroes","ABC",22,7.6,2007
"Private Practice","ABC",26,7.3,2007
"Dancing with the Stars - Monday","ABC",3,12.9,2008
"Dancing with the Stars - Tuesday","ABC",7,10.7,2008
"Desperate Housewives","ABC",9,9.9,2008
"Grey's Anatomy","ABC",10,9.6,2008
"The Bachelor","ABC",20,7.5,2008
"Brothers & Sisters","ABC",23,7.2,2008
"Castle","ABC",25,6.9,2008
"Lost","ABC",29,6.6,2008
"Dancing with the Stars","ABC",3,12.6,2009
"Dancing with the Stars - Results","ABC",7,9.9,2009
"Grey's Anatomy","ABC",11,9,2009
"Desperate Housewives","ABC",13,8.8,2009
"The Bachelor","ABC",21,7.8,2009
"Brothers & Sisters","ABC",23,7,2009
"Castle","ABC",24,6.9,2009
"Lost","ABC",24,6.9,2009
"Private Practice","ABC",29,6.3,2009
"Dancing with the Stars","ABC",2,13.8,2010
"Dancing with the Stars - Results","ABC",5,11.8,2010
"Body of Proof","ABC",9,9,2010
"Desperate Housewives","ABC",17,7.5,2010
"Grey's Anatomy","ABC",17,7.5,2010
"Castle","ABC",22,7.3,2010
"Modern Family","ABC",25,7.1,2010
"The Bachelor","ABC",27,7,2010
"Dancing with the Stars","ABC",3,12,2011
"Dancing with the Stars - Results","ABC",6,10.6,2011
"Modern Family","ABC",15,8.1,2011
"Castle","ABC",16,8,2011
"Grey's Anatomy","ABC",21,7.6,2011
"Desperate Housewives","ABC",28,7,2011
"Once Upon a Time","ABC",28,7,2011
"Dancing with the Stars","ABC",6,9.9,2012
"Dancing with the Stars - Results","ABC",7,9.2,2012
"Castle","ABC",15,8.1,2012
"Grey's Anatomy","ABC",18,7.7,2012
"Modern Family","ABC",18,7.7,2012
"Body of Proof","ABC",23,7.3,2012
"Dancing with the Stars","ABC",5,10,2013
"Grey's Anatomy","ABC",11,8.5,2013
"Castle","ABC",12,8.3,2013
"Scandal","ABC",13,8.2,2013
"Resurrection","ABC",15,8.1,2013
"Modern Family","ABC",18,7.6,2013
