Rank	Program	Network	Rating	Year						
4	Friends	NBC	13.6	2003						
5	The Apprentice	NBC	13	2003						
6	ER	NBC	12.9	2003						
12	Law & Order	NBC	10.8	2003						
13	Will & Grace	NBC	10.4	2003						
18	Law & Order: Special Victims Unit	NBC	8.7	2003						
19	Crossing Jordan	NBC	8.6	2003						
19	Law & Order: Criminal Intent	NBC		2003						
22	Fear Factor	NBC	7.9	2003						
23	The West Wing	NBC	7.8	2003						
28	Las Vegas	NBC	7.6	2003						
29	Average Joe	NBC	7.4	2003						
30	Frasier	NBC	7.3	2003						
12	ER	NBC	10.4	2004						
14	The Apprentice	NBC	9.7	2004						
16	Law & Order: Special Victims Unit	NBC	9.2	2004						
18	Medium	NBC	9.1	2004						
20	Law & Order	NBC	8.9	2004						
25	Law & Order: Criminal Intent	NBC	7.9	2004						
26	Crossing Jordan	NBC	7.7	2004						
29	The West Wing	NBC	7.4	2004						
15	Deal or No Deal - Monday	NBC	9.6	2005						
18	Law & Order: Special Victims Unit	NBC	9.2	2005						
21	Deal or No Deal - Wednesday	NBC	9	2005						
28	ER	NBC	8.1	2005						
11	Sunday Night Football	NBC	10.5	2006						
13	Deal or No Deal - Monday	NBC	9.2	2006						
23	Heroes	NBC	8	2006						
24	Law & Order: Special Victims Unit	NBC	7.9	2006						
10	Sunday Night Football	NBC	9.7	2007						
22	Law & Order: Special Victims Unit	NBC	7.6	2007						
27	Law & Order	NBC	7.2	2007						
28	Deal or No Deal - Monday	NBC	7.1	2007						
8	Sunday Night Football	NBC	10	2008						
26	Law & Order: Special Victims Unit	NBC	6.7	2008						
26	ER	NBC	6.7	2008						
5	Sunday Night Football	NBC	11.3	2009						
4	Sunday Night Football	NBC	12.7	2010						
17	The Voice	NBC	7.5	2010						
22	Harry's Law	NBC	7.3	2010						
1	Sunday Night Football	NBC	12.4	2011						
10	The Voice	NBC	9.2	2011						
2	Sunday Night Football	NBC	12.4	2012						
10	The Voice	NBC	8.7	2012						
13	The Voice - Tuesday	NBC	8.4	2012						
1	Sunday Night Football	NBC	12.6	2013						
6	The Blacklist	NBC	9.5	2013						
8	The Voice	NBC	8.9	2013						
10	The Voice - Tuesday	NBC	8.6	2013						
29	Chicago Fire	NBC	6.5	2013						
1	Sunday Night Football	NBC	12.6	2015						
6	The Blacklist	NBC	9.5	2015						
8	The Voice	NBC	8.9	2015						
10	The Voice - Tuesday	NBC	8.6	2015						
29	Chicago Fire	NBC	6.5	2015						
2	Sunday Night Football	NBC	10.3	2017						
4	This Is Us	NBC	10.2	2017						
12	The Voice	NBC	7.1	2017						
16	The Voice: Tuesday	NBC	6.8	2017						
19	Chicago Med	NBC	6.6	2017						
21	Chicago P.D.	NBC	6.5	2017						
22	Chicago Fire	NBC	6.2	2017						
30	Law & Order: Special Victims Unit	NBC	5.6	2017						
1	Sunday Night Football	NBC	10.9	2018						
6	This Is Us	NBC	8.5	2018						
9	Manifest	NBC	7.4	2018						
11	Chicago Fire	NBC	7.2	2018						
11	America's Got Talent: The Champions	NBC	7.2	2018						
13	Chicago Med	NBC	7	2018						
15	Chicago P.D.	NBC	6.9	2018						
15	New Amsterdam	NBC	6.9	2018						
19	The Voice	NBC	6.6	2018						
22	The Voice: Tuesday	NBC	6.2	2018						
1	Sunday Night Football	NBC	12.3	2014						
12	The Blacklist	NBC	8.7	2014						
13	The Voice: Monday	NBC	8.5	2014						
15	The Voice: Tuesday	NBC	8.3	2014						
2	Sanford and Son	NBC	29.6	1974						
3	Chico and the Man	NBC	28.5	1974						
12	The Rockford Files	NBC	23.7	1974						
13	Little House on the Prairie	NBC	23.5	1974						
15	Police Woman	NBC	22.8	1974						
18	The Wonderful World of Disney	NBC	22	1974						
22	The NBC Sunday Mystery Movie	NBC	21.3	1974						
30	Emergency!	NBC	20	1974						
7	Sanford and Son	NBC	24.4	1975						
25	Chico and the Man	NBC	20.8	1975						
30	Police Woman	NBC	20.2	1975						
6	The Big Event	NBC	24.4	1976						
15	Little House on the Prairie	NBC	22.3	1976						
20	NBC Monday Night Movie	NBC	21.8	1976						
27	Sanford and Son	NBC	20.3	1976						
7	Little House on the Prairie	NBC	24.1	1977						
15	NBC Monday Night Movie	NBC	21.7	1977						
19	Project U.F.O.	NBC	21.2	1977						
30	The Big Event - Sunday	NBC	19.4	1977						
14	Little House on the Prairie	NBC	23.1	1978						
21	NBC Monday Night Movie	NBC	20.9	1978						
25	CHiPs	NBC	20.3	1978						
27	Diff'rent Strokes	NBC	19.9	1978						
14	Real People	NBC	22.1	1979						
18	CHiPs	NBC	21.5	1979						
26	Diff'rent Strokes	NBC	20.3	1979						
10	Little House on the Prairie	NBC	22.1	1980						
12	Real People	NBC	21.5	1980						
17	Diff'rent Strokes	NBC	20.7	1980						
24	CHiPs	NBC	19.4	1980						
26	The Facts of Life	NBC	19.3	1980						
29	NBC Monday Night Movie	NBC	18.8	1980						
21	Real People	NBC	19.7	1981						
24	The Facts of Life	NBC	19.1	1981						
24	Little House on the Prairie	NBC	19.1	1981						
27	Hill Street Blues	NBC	18.6	1981						
10	The A-Team	NBC	20.1	1982						
21	Hill Street Blues	NBC	18.4	1982						
28	Little House: A New Beginning	NBC	17.4	1982						
30	Real People	NBC	17.2	1982						
4	The A-Team	NBC	24	1983						
14	TV's Bloopers & Practical Jokes	NBC	20.3	1983						
18	Riptide	NBC	18.8	1983						
21	NBC Monday Night Movie	NBC	18.1	1983						
24	The Facts of Life	NBC	17.3	1983						
25	Knight Rider	NBC	17.2	1983						
3	The Cosby Show	NBC	24.2	1984						
5	Family Ties	NBC	22.1	1984						
6	The A-Team	NBC	21.9	1984						
12	Cheers	NBC	19.7	1984						
18	NBC Monday Night Movie	NBC	18.2	1984						
19	Highway to Heaven	NBC	17.7	1984						
20	Night Court	NBC	17.6	1984						
22	TV's Bloopers & Practical Jokes	NBC	17.1	1984						
30	Hill Street Blues	NBC	16.6	1984						
1	The Cosby Show	NBC	33.7	1985						
2	Family Ties	NBC	30	1985						
5	Cheers	NBC	23.7	1985						
7	The Golden Girls	NBC	21.8	1985						
9	Miami Vice	NBC	21.3	1985						
11	Night Court	NBC	20.9	1985						
13	Highway to Heaven	NBC	20.1	1985						
19	You Again?	NBC	19.2	1985						
20	227	NBC	18.8	1985						
21	NBC Sunday Night Movie	NBC	18.5	1985						
22	NBC Monday Night Movie	NBC	18.3	1985						
24	Valerie	NBC	18.1	1985						
27	The Facts of Life	NBC	17.7	1985						
30	The A-Team	NBC	16.9	1985						
1	The Cosby Show	NBC	34.9	1986						
2	Family Ties	NBC	32.7	1986						
3	Cheers	NBC	27.2	1986						
5	The Golden Girls	NBC	24.5	1986						
7	Night Court	NBC	23.2	1986						
13	Amen	NBC	19.4	1986						
14	227	NBC	18.9	1986						
15	Matlock	NBC	18.6	1986						
15	NBC Monday Night Movie	NBC	18.6	1986						
20	NBC Sunday Night Movie	NBC	18.2	1986						
21	L.A. Law	NBC	17.4	1986						
21	My Sister Sam	NBC	17.4	1986						
23	Falcon Crest	NBC	17.3	1986						
24	Highway to Heaven	NBC	17.2	1986						
26	Miami Vice	NBC	16.8	1986						
28	ALF	NBC	16.5	1986						
28	Hunter	NBC	16.5	1986						
1	The Cosby Show	NBC	27.8	1987						
2	A Different World	NBC	25	1987						
3	Cheers	NBC	23.4	1987						
4	The Golden Girls	NBC	21.8	1987						
7	Night Court	NBC	20.8	1987						
10	ALF	NBC	18.8	1987						
12	L.A. Law	NBC	18.3	1987						
14	Matlock	NBC	17.8	1987						
15	Amen	NBC	17.5	1987						
17	Family Ties	NBC	17.3	1987						
19	In the Heat of the Night	NBC	17	1987						
20	My Two Dads	NBC	16.9	1987						
20	Valerie's Family	NBC	16.9	1987						
23	NBC Sunday Night Movie	NBC	16.7	1987						
26	NBC Monday Night Movie	NBC	16.4	1987						
27	227	NBC	16.3	1987						
28	Day by Day	NBC	16.2	1987						
29	Hunter	NBC	16.1	1987						
30	Aaron's Way	NBC	16	1987						
1	The Cosby Show	NBC	25.6	1988						
3	A Different World	NBC	23	1988						
4	Cheers	NBC	22.3	1988						
6	The Golden Girls	NBC	21.4	1988						
9	Empty Nest	NBC	19.2	1988						
11	Dear John	NBC	18.5	1988						
12	Matlock	NBC	17.7	1988						
13	L.A. Law	NBC	17.6	1988						
13	Growing Pains	NBC	17.6	1988						
15	ALF	NBC	17.5	1988						
17	Unsolved Mysteries	NBC	17.4	1988						
18	In the Heat of the Night	NBC	17.3	1988						
19	Hunter	NBC	17.2	1988						
21	Night Court	NBC	16.9	1988						
22	The Hogan Family	NBC	16.3	1988						
22	NBC Sunday Night Movie	NBC	16.3	1988						
22	The Wonder Years	NBC	16.3	1988						
25	Amen	NBC	16.2	1988						
25	NBC Monday Night Movie	NBC	16.2	1988						
1	The Cosby Show	NBC	23.1	1989						
3	Cheers	NBC	22.7	1989						
4	A Different World	NBC	21.1	1989						
6	The Golden Girls	NBC	20.1	1989						
9	Empty Nest	NBC	18.9	1989						
11	Unsolved Mysteries	NBC	18	1989						
15	Grand	NBC	17.6	1989						
16	L.A. Law	NBC	17.4	1989						
17	Dear John	NBC	17.2	1989						
19	In the Heat of the Night	NBC	16.9	1989						
20	Matlock	NBC	16.6	1989						
24	Hunter	NBC	14.9	1989						
28	Night Court	NBC	14.5	1989						
14	Cheers	NBC	19.2	1984						
25	ABC Monday Movie	ABC	13.8	1991						
16	The Jackie Thomas Show	ABC	14.6	1992						
25	"Dr. Quinn, Medicine Woman"	CBS	13.3	1993						
28	Dateline NBC - Wednesday	NBC	11.3	1995						
27	3rd Rock from the Sun	NBC	10.8	1996						
13	Dateline NBC - Tuesday	NBC	11.5	1997						
14	Dateline NBC - Monday	NBC	11.4	1997						
14	20/20 - Friday	ABC	9.9	1998						
19	Dateline NBC - Monday	NBC	9.7	1998						
19	CBS Tuesday Movie	CBS	9.7	1998						
24	Spin City	ABC	9.1	1999						
